,,Número de sucessos,,,,,,,,,,Número de sucessos,,,,,,,,,
Número de d20,DT do dado,≥1 (=1),≥2 (=2),≥3 (=3),≥4 (=4),≥5 (=5),≥6 (=6),≥7 (=7),≥8 (=8),≥9 (=9),≥10 (=10),DT do dado,≥1 (=1),≥2 (=2),≥3 (=3),≥4 (=4),≥5 (=5),≥6 (=6),≥7 (=7),≥8 (=8),≥9 (=9),≥10 (=10)
11,,86.90% (15.13%),71.77% (19.12%),52.65% (18.69%),33.96% (14.74%),19.22% (09.66%),09.56% (05.37%),04.19% (02.57%),01.62% (01.06%),00.55% (00.39%),00.17% (00.12%),,91.51% (11.42%),80.10% (16.69%),63.41% (18.85%),44.55% (17.03%),27.52% (12.63%),14.89% (07.84%),07.05% (04.13%),02.92% (01.86%),01.06% (00.72%),00.34% (00.24%)
12,,88.48% (13.46%),75.03% (17.78%),57.25% (18.40%),38.85% (15.50%),23.36% (10.92%),12.44% (06.56%),05.88% (03.41%),02.48% (01.55%),00.93% (00.62%),00.31% (00.22%),,92.78% (09.80%),82.98% (14.93%),68.04% (17.85%),50.19% (17.25%),32.94% (13.81%),19.14% (09.31%),09.82% (05.37%),04.46% (02.67%),01.79% (01.15%),00.64% (00.44%)
13,,89.85% (11.97%),77.88% (16.43%),61.45% (17.88%),43.57% (15.96%),27.61% (11.99%),15.62% (07.72%),07.90% (04.32%),03.58% (02.12%),01.46% (00.92%),00.53% (00.36%),,93.84% (08.42%),85.41% (13.29%),72.12% (16.69%),55.43% (17.11%),38.32% (14.64%),23.67% (10.63%),13.04% (06.64%),06.40% (03.60%),02.80% (01.71%),01.09% (00.71%)
14,,91.03% (10.65%),80.38% (15.12%),65.26% (17.20%),48.06% (16.17%),31.89% (12.86%),19.03% (08.82%),10.21% (05.27%),04.94% (02.78%),02.16% (01.30%),00.85% (00.55%),,94.73% (07.25%),87.48% (11.79%),75.70% (15.45%),60.25% (16.69%),43.55% (15.16%),28.39% (11.76%),16.63% (07.89%),08.74% (04.62%),04.13% (02.38%),01.75% (01.08%)
15,,92.06% (09.49%),82.58% (13.86%),68.71% (16.41%),52.31% (16.16%),36.15% (13.54%),22.61% (09.82%),12.79% (06.24%),06.56% (03.51%),03.05% (01.76%),01.29% (00.79%),,95.48% (06.24%),89.24% (10.42%),78.82% (14.19%),64.64% (16.06%),48.58% (15.39%),33.19% (12.66%),20.52% (09.06%),11.47% (05.68%),05.79% (03.15%),02.64% (01.55%)
16,,92.96% (08.45%),84.51% (12.68%),71.83% (15.54%),56.30% (15.96%),40.33% (14.02%),26.31% (10.70%),15.61% (07.18%),08.43% (04.28%),04.15% (02.29%),01.87% (01.10%),,96.12% (05.38%),90.74% (09.19%),81.55% (12.94%),68.61% (15.28%),53.33% (15.36%),37.97% (13.34%),24.64% (10.11%),14.53% (06.75%),07.79% (04.00%),03.79% (02.11%)
17,,93.75% (07.54%),86.21% (11.56%),74.65% (14.63%),60.02% (15.62%),44.40% (14.32%),30.08% (11.45%),18.63% (08.08%),10.55% (05.08%),05.47% (02.87%),02.60% (01.46%),,96.67% (04.64%),92.03% (08.09%),83.93% (11.74%),72.19% (14.39%),57.80% (15.12%),42.68% (13.78%),28.90% (11.01%),17.89% (07.78%),10.12% (04.89%),05.22% (02.76%)
18,,94.44% (06.72%),87.72% (10.53%),77.18% (13.71%),63.47% (15.15%),48.32% (14.45%),33.87% (12.06%),21.80% (08.92%),12.89% (05.89%),07.00% (03.50%),03.49% (01.89%),,97.13% (04.01%),93.12% (07.12%),86.00% (10.61%),75.40% (13.45%),61.95% (14.70%),47.24% (14.00%),33.24% (11.74%),21.50% (08.74%),12.76% (05.81%),06.94% (03.48%)
1,14,35.00% (30.00%),05.00% (05.00%),,,,,,,,,13,40.00% (35.00%),05.00% (05.00%),,,,,,,,
2,,54.75% (36.50%),18.25% (15.00%),03.25% (03.00%),00.25% (00.25%),,,,,,,,60.50% (39.00%),21.50% (17.75%),03.75% (03.50%),00.25% (00.25%),,,,,,
